Original,Furigana,Indonesia,JLPT Level
現像,げんぞう,mengembangkan (film),N1
原則,げんそく,"prinsip, aturan umum",N1
見地,けんち,sudut pandang,N1
現地,げんち,"tempat sebenarnya, lokal",N1
限定,げんてい,"batas, batasan",N1
原点,げんてん,"asal (koordinat, titik awal)",N1
原典,げんてん,"asli, sumber",N1
原爆,げんばく,bom atom,N1
原文,げんぶん,"teks, asli",N1
厳密,げんみつ,"ketat, dekat",N1
賢明,けんめい,"kebijaksanaan, kecerdasan, kehati-hatian",N1
倹約,けんやく,"hemat, ekonomi, berhemat",N1
原油,げんゆ,minyak mentah,N1
兼用,けんよう,"serba guna, penggunaan gabungan",N1
権力,けんりょく,"kekuatan (politik), otoritas, pengaruh",N1
言論,げんろん,"diskusi, pidato",N1
故～,こ～,"almarhum, terlambat",N1
語彙,ごい,"kosa kata, glosarium",N1
恋する,こいする,"jatuh cinta dengan, untuk mencintai",N1
甲,こう,peringkat 1; kulit,N1
～光,～こう,cahaya,N1
好意,こうい,"niat baik, bantuan, kesopanan",N1
行為,こうい,"tindakan, perbuatan, perilaku",N1
合意,ごうい,"kesepakatan, persetujuan, saling pengertian",N1
工学,こうがく,rekayasa,N1
抗議,こうぎ,"protes, keberatan",N1
合議,ごうぎ,"konsultasi, konferensi",N1
皇居,こうきょ,Istana Kekaisaran,N1
好況,こうきょう,"kondisi makmur, ekonomi yang sehat",N1
鉱業,こうぎょう,industri pertambangan,N1
興業,こうぎょう,memulai bisnis; industri,N1
高原,こうげん,"dataran tinggi, plato",N1
交互,こうご,"saling, timbal balik, bergantian",N1
煌々と,こうこうと,dengan terang,N1
考古学,こうこがく,arkeologi,N1
工作,こうさく,"kerajinan tangan, manuver",N1
耕作,こうさく,"budidaya, pertanian",N1
鉱山,こうざん,tambang,N1
講習,こうしゅう,"kursus singkat, pelatihan",N1
口述,こうじゅつ,pernyataan lisan,N1
控除,こうじょ,"subsidi, pemotongan",N1
交渉,こうしょう,negosiasi,N1
高尚,こうしょう,"tinggi, mulia, halus",N1
向上,こうじょう,"kenaikan, perbaikan, kemajuan",N1
行進,こうしん,"baris-berbaris, parade",N1
香辛料,こうしんりょう,rempah-rempah,N1
降水,こうすい,"curah hujan, presipitasi",N1
洪水,こうずい,banjir,N1
合成,ごうせい,"sintetis, campuran",N1
公然,こうぜん,secara terbuka,N1
抗争,こうそう,"perselisihan, perlawanan",N1
構想,こうそう,"rencana, plot, ide, konsepsi",N1
後退,こうたい,"mundur, spasi mundur",N1
光沢,こうたく,"kilau, hasil akhir mengkilap (foto)",N1
公団,こうだん,perusahaan publik,N1
好調,こうちょう,"memuaskan, dalam kondisi baik",N1
口頭,こうとう,lisan,N1
講読,こうどく,membaca,N1
購読,こうどく,berlangganan,N1
購入,こうにゅう,"pembelian, beli",N1
公認,こうにん,"pengakuan resmi, otorisasi",N1
光熱費,こうねつひ,biaya bahan bakar dan listrik,N1
購買,こうばい,"pembelian, beli",N1
好評,こうひょう,"popularitas, reputasi yang baik",N1
交付,こうふ,"pengiriman, penyediaan (dengan salinan)",N1
公募,こうぼ,"permintaan publik, kontribusi publik",N1
巧妙,こうみょう,"cerdik, terampil, pintar",N1
公用,こうよう,"urusan pemerintah, penggunaan publik, biaya publik",N1
小売,こうり,eceran,N1
効率,こうりつ,efisiensi,N1
公立,こうりつ,institusi publik,N1
護衛,ごえい,"penjaga, konvoi, pengawal",N1
コーナー,コーナー,sudut,N1
小柄,こがら,"kecil, mungil",N1
小切手,こぎって,"cek",N1
国産,こくさん,produk dalam negeri,N1
国定,こくてい,"disponsori negara, nasional",N1
告白,こくはく,"pengakuan",N1
国防,こくぼう,pertahanan nasional,N1
国有,こくゆう,milik negara,N1
極楽,ごくらく,surga,N1
国連,こくれん,"PBB, Perserikatan Bangsa-Bangsa",N1
焦げ茶,こげちゃ,coklat tua,N1
語源,ごげん,"akar kata, turunan kata, etimologi",N1
心地,ここち,"perasaan, sensasi, suasana hati",N1
心得,こころえ,"pengetahuan, informasi",N1
心掛け,こころがけ,"kesiapan, niat, tujuan",N1
心掛ける,こころがける,"mengingat, bertujuan untuk melakukan",N1
志,こころざし,"kemauan, niat, motif",N1
志す,こころざす,"merencanakan, berniat, bercita-cita",N1
心強い,こころづよい,"mengharukan, meyakinkan",N1
心細い,こころぼそい,"tak berdaya, putus asa, mengecewakan",N1
試み,こころみ,"percobaan, eksperimen",N1
試みる,こころみる,"mencoba, menguji",N1
快い,こころよい,"menyenangkan, cocok",N1
誤差,ごさ,kesalahan,N1
ございます (かん),ございます (かん),"menjadi (sopan, ada)",N1
孤児,こじ,anak yatim,N1
こじれる,こじれる,"menjadi rumit, menjadi lebih buruk",N1
こす (みずを～),こす (みずを～),"menyaring, memfilter",N1
梢,こずえ,puncak pohon,N1
個性,こせい,"individualitas, kepribadian, keunikan",N1
戸籍,こせき,"sensus, daftar keluarga",N1
古代,こだい,zaman kuno,N1
こたつ,こたつ,"meja dengan pemanas, (awalnya) anglo arang di sumur lantai",N1
こだわる,こだわる,"rewel, sangat memperhatikan",N1
誇張,こちょう,berlebihan,N1
こつ (をつかむ),こつ (をつかむ),"rahasia, trik, cara",N1
滑稽,こっけい,"lucu, humoris, jenaka",N1
国交,こっこう,hubungan diplomatik,N1
骨董品,こっとうひん,barang antik,N1
固定,こてい,"fiksasi, penetapan (misalnya gaji, modal)",N1
事柄,ことがら,"masalah, hal, urusan, keadaan",N1
孤独,こどく,"isolasi, kesepian, kesendirian",N1
ことごとく,ことごとく,"sama sekali, seluruhnya",N1
言付け,ことづけ,menitipkan pesan,N1
殊に,ことに,"terutama, di atas segalanya",N1
粉々,こなごな,menjadi potongan-potongan yang sangat kecil,N1
好ましい,このましい,"baik, disukai, diinginkan",N1
碁盤,ごばん,papan Go,N1
個別,こべつ,kasus tertentu,N1
ごまかす,ごまかす,"menipu, memalsukan, salah menggambarkan",N1
細やか,こまやか,"sedikit, sederhana",N1
コマーシャル,コマーシャル,iklan,N1
込める,こめる,"memasukkan, menaruh ke dalam",N1
コメント,コメント,komentar,N1
籠もる,こもる,"mengurung diri, terkurung di",N1
固有,こゆう,"karakteristik, tradisi, khas",N1
暦,こよみ,"kalender, almanak",N1
凝らす,こらす,"berkonsentrasi, mengabdikan, mengintip ke dalam",N1
ごらんなさい (かん),ごらんなさい (かん),"lihat, (tolong) coba lakukan",N1
孤立,こりつ,"isolasi, ketidakberdayaan",N1
懲りる,こりる,"belajar dari pengalaman, muak dengan",N1
凝る,こる,"menjadi kaku, mengeras",N1
根気,こんき,"kesabaran; ketekunan, energi",N1
根拠,こんきょ,"dasar, landasan",N1
混血,こんけつ,"ras campuran, orang tua campuran",N1
コンタクト (レンズ),コンタクト (レンズ),kontak; lensa kontak,N1
昆虫,こんちゅう,"serangga, kutu",N1
根底,こんてい,"akar, dasar, landasan",N1
混同,こんどう,"kebingungan, pencampuran, penggabungan",N1
コントラスト,コントラスト,kontras,N1
コントロール,コントロール,kontrol,N1
コンパス,コンパス,kompas,N1
根本,こんぽん,"fondasi, akar, dasar",N1
財,ざい,"keberuntungan, kekayaan",N1
再会,さいかい,"bertemu lagi, reuni",N1
災害,さいがい,"bencana, musibah",N1
細菌,さいきん,"basil, bakteri, kuman",N1
細工,さいく,"pekerjaan, keahlian, trik",N1
採掘,さいくつ,penambangan,N1
サイクル,サイクル,siklus,N1
採決,さいけつ,"pemungutan suara, pemanggilan nama",N1
再建,さいけん,pembangunan kembali (kuil atau tempat suci),N1
再現,さいげん,"reproduksi, pengembalian, kebangkitan",N1
財源,ざいげん,"sumber dana, sumber daya, keuangan",N1
在庫,ざいこ,"persediaan, stok",N1
採算,さいさん,keuntungan,N1
サイズ,サイズ,ukuran,N1
再生,さいせい,"pemutaran, regenerasi, resusitasi",N1
財政,ざいせい,"ekonomi, urusan keuangan",N1
最善,さいぜん,yang terbaik,N1
採択,さいたく,"adopsi, seleksi, pilihan",N1
栽培,さいばい,budidaya,N1
再発,さいはつ,"kembali, kambuh, terulang kembali",N1
細胞,さいぼう,sel,N1
採用,さいよう,"penggunaan, adopsi",N1
遮る,さえぎる,"mengganggu, mencegat, menghalangi",N1
さえずる,さえずる,"bernyanyi, berkicau",N1
冴える,さえる,"menjadi jernih, menjadi cerah, menjadi terampil",N1
竿,さお,"tongkat, tiang (misalnya untuk menjemur pakaian)",N1
栄える,さかえる,"berkembang, makmur, maju",N1
差額,さがく,"saldo, selisih, margin",N1
杯,さかずき,cangkir anggur,N1
逆立ち,さかだち,"berdiri dengan tangan, berdiri dengan kepala",N1
さきに (いぜん),さきに (いぜん),"sebelum, lebih awal dari, sebelumnya",N1
詐欺,さぎ,"penipuan, penggelapan",N1
削減,さくげん,"pemotongan, pengurangan",N1
錯誤,さくご,kesalahan,N1
作戦,さくせん,"operasi militer, taktik, strategi",N1
叫び,さけび,"teriakan, jeritan, seruan",N1
捧げる,ささげる,"mengangkat, memberi, menawarkan",N1
差し掛かる,さしかかる,"mendekati, mendekat",N1
指図,さしず,"instruksi, mandat",N1
差し出す,さしだす,"menyerahkan, mengajukan, mengulurkan",N1
差し支える,さしつかえる,"mengganggu, menghalangi",N1
授ける,さずける,"memberi, menganugerahkan, mengajar",N1
摩する,さする,"menggosok, mengelus",N1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"saya yakin, pasti, tidak diragukan lagi",N1
定まる,さだまる,"menjadi mapan, ditetapkan",N1
定める,さだめる,"memutuskan, menentukan",N1
座談会,ざだんかい,"simposium, diskusi meja bundar",N1
雑,ざつ,"kasar, mentah",N1
雑貨,ざっか,"aneka barang, barang umum",N1
殺人,さつじん,pembunuhan,N1
察する,さっする,"menebak, merasakan, menilai",N1
雑談,ざつだん,"mengobrol, omong kosong",N1
さっと,さっと,"tiba-tiba, lancar",N1
さっぱりする,さっぱりする,menyegarkan,N1
悟る,さとる,"mencapai pencerahan, mengerti",N1
最中,さなか,"di tengah-tengah, di tengah",N1
座標,ざひょう,koordinat,N1
さほど,さほど,"tidak begitu, tidak sebanyak itu",N1
サボる,サボる,membolos; bermalas-malasan di tempat kerja; menghabiskan waktu dengan sia-sia,N1
